/home/debian/anaconda3/envs/jaxenv/bin/python /home/debian/PycharmProjects/PythonProject/WKLC-KWC_3D_Extension_ZigZag.py 
Placed 180/180 seeds.
Saved VTK at t = 0.485000, laser=(1.5625, 0.6250) to VTK/fields_000970.vtk
Saved VTK at t = 0.490000, laser=(1.5625, 0.6250) to VTK/fields_000980.vtk
Saved VTK at t = 0.495000, laser=(1.5625, 0.6250) to VTK/fields_000990.vtk
Saved VTK at t = 0.500000, laser=(1.5625, 0.6250) to VTK/fields_001000.vtk
Saved VTK at t = 0.505000, laser=(1.5625, 0.6250) to VTK/fields_001010.vtk
Saved VTK at t = 0.510000, laser=(1.6075, 0.6250) to VTK/fields_001020.vtk
Saved VTK at t = 0.515000, laser=(1.6575, 0.6250) to VTK/fields_001030.vtk
Saved VTK at t = 0.520000, laser=(1.6625, 0.6475) to VTK/fields_001040.vtk
Saved VTK at t = 0.525000, laser=(1.6625, 0.6725) to VTK/fields_001050.vtk
Saved VTK at t = 0.530000, laser=(1.6625, 0.6975) to VTK/fields_001060.vtk
Saved VTK at t = 0.535000, laser=(1.6625, 0.7225) to VTK/fields_001070.vtk
Saved VTK at t = 0.540000, laser=(1.6625, 0.7475) to VTK/fields_001080.vtk
Saved VTK at t = 0.545000, laser=(1.6625, 0.7725) to VTK/fields_001090.vtk
Saved VTK at t = 0.550000, laser=(1.6625, 0.7975) to VTK/fields_001100.vtk
Saved VTK at t = 0.555000, laser=(1.6625, 0.8225) to VTK/fields_001110.vtk
Saved VTK at t = 0.560000, laser=(1.6625, 0.8475) to VTK/fields_001120.vtk
Saved VTK at t = 0.565000, laser=(1.6625, 0.8725) to VTK/fields_001130.vtk
Saved VTK at t = 0.570000, laser=(1.6625, 0.8975) to VTK/fields_001140.vtk
Saved VTK at t = 0.575000, laser=(1.6625, 0.9225) to VTK/fields_001150.vtk
Saved VTK at t = 0.580000, laser=(1.6625, 0.9475) to VTK/fields_001160.vtk
Saved VTK at t = 0.585000, laser=(1.6625, 0.9725) to VTK/fields_001170.vtk
Saved VTK at t = 0.590000, laser=(1.6625, 0.9975) to VTK/fields_001180.vtk
Saved VTK at t = 0.595000, laser=(1.6625, 1.0225) to VTK/fields_001190.vtk
Saved VTK at t = 0.600000, laser=(1.6625, 1.0475) to VTK/fields_001200.vtk
Saved VTK at t = 0.605000, laser=(1.6625, 1.0725) to VTK/fields_001210.vtk
Saved VTK at t = 0.610000, laser=(1.6625, 1.0975) to VTK/fields_001220.vtk
Saved VTK at t = 0.615000, laser=(1.6625, 1.1225) to VTK/fields_001230.vtk
Saved VTK at t = 0.620000, laser=(1.6625, 1.1475) to VTK/fields_001240.vtk
Saved VTK at t = 0.625000, laser=(1.6625, 1.1725) to VTK/fields_001250.vtk
Saved VTK at t = 0.630000, laser=(1.6625, 1.1975) to VTK/fields_001260.vtk
Saved VTK at t = 0.635000, laser=(1.6625, 1.2225) to VTK/fields_001270.vtk
Saved VTK at t = 0.640000, laser=(1.6625, 1.2475) to VTK/fields_001280.vtk
Saved VTK at t = 0.645000, laser=(1.6625, 1.2725) to VTK/fields_001290.vtk
Saved VTK at t = 0.650000, laser=(1.6625, 1.2975) to VTK/fields_001300.vtk
Saved VTK at t = 0.655000, laser=(1.6625, 1.3225) to VTK/fields_001310.vtk
Saved VTK at t = 0.660000, laser=(1.6625, 1.3475) to VTK/fields_001320.vtk
Saved VTK at t = 0.665000, laser=(1.6625, 1.3725) to VTK/fields_001330.vtk
Saved VTK at t = 0.670000, laser=(1.6625, 1.3975) to VTK/fields_001340.vtk
Saved VTK at t = 0.675000, laser=(1.6625, 1.4225) to VTK/fields_001350.vtk
Saved VTK at t = 0.680000, laser=(1.6625, 1.4475) to VTK/fields_001360.vtk
Saved VTK at t = 0.685000, laser=(1.6625, 1.4725) to VTK/fields_001370.vtk
Saved VTK at t = 0.690000, laser=(1.6625, 1.4975) to VTK/fields_001380.vtk
Saved VTK at t = 0.695000, laser=(1.6625, 1.5225) to VTK/fields_001390.vtk
Saved VTK at t = 0.700000, laser=(1.6625, 1.5475) to VTK/fields_001400.vtk
